	CO2	CH4	N2O	SOx
2026	10.424066	0.004242	0.010802	0.000000
2027	10.450126	0.004244	0.010804	0.000000
2028	10.476252	0.004246	0.010806	0.000000
2029	10.502442	0.004248	0.010809	0.000000
2030	10.528698	0.004251	0.010811	0.000000
2031	10.555020	0.004253	0.010813	0.000000
2032	10.581408	0.004255	0.010815	0.000000
2033	10.607861	0.004257	0.010817	0.000000
2034	10.634381	0.004259	0.010819	0.000000
2035	10.660967	0.004261	0.010822	0.000000
2036	10.687619	0.004263	0.010824	0.000000
2037	10.714338	0.004266	0.010826	0.000000
2038	10.741124	0.004268	0.010828	0.000000
2039	10.767977	0.004270	0.010830	0.000000
2040	10.794897	0.004272	0.010832	0.000000
2041	10.821884	0.004274	0.010835	0.000000
2042	10.848939	0.004276	0.010837	0.000000
2043	10.876061	0.004278	0.010839	0.000000
2044	10.903251	0.004280	0.010841	0.000000
2045	10.930509	0.004283	0.010843	0.000000
2046	10.957836	0.004285	0.010845	0.000000
2047	10.985230	0.004287	0.010848	0.000000
2048	11.012693	0.004289	0.010850	0.000000
2049	11.040225	0.004291	0.010852	0.000000
2050	11.067826	0.004293	0.010854	0.000000
2051	11.095495	0.004295	0.010856	0.000000
2052	11.123234	0.004298	0.010858	0.000000
2053	11.151042	0.004300	0.010861	0.000000
2054	11.178920	0.004302	0.010863	0.000000
2055	11.206867	0.004304	0.010865	0.000000
2056	11.234884	0.004306	0.010867	0.000000
2057	11.262971	0.004308	0.010869	0.000000
2058	11.291129	0.004311	0.010872	0.000000
2059	11.319356	0.004313	0.010874	0.000000
2060	11.347655	0.004315	0.010876	0.000000
2061	11.376024	0.004317	0.010878	0.000000
2062	11.404464	0.004319	0.010880	0.000000
2063	11.432975	0.004321	0.010882	0.000000
2064	11.461558	0.004323	0.010885	0.000000
2065	11.490212	0.004326	0.010887	0.000000
2066	11.518937	0.004328	0.010889	0.000000
2067	11.547734	0.004330	0.010891	0.000000
2068	11.576604	0.004332	0.010893	0.000000
2069	11.605545	0.004334	0.010895	0.000000
2070	11.634559	0.004336	0.010898	0.000000
2071	11.663646	0.004339	0.010900	0.000000
2072	11.692805	0.004341	0.010902	0.000000
2073	11.722037	0.004343	0.010904	0.000000
2074	11.751342	0.004345	0.010906	0.000000
2075	11.780720	0.004347	0.010909	0.000000
2076	11.810172	0.004349	0.010911	0.000000
2077	11.839697	0.004352	0.010913	0.000000
2078	11.869297	0.004354	0.010915	0.000000
2079	11.898970	0.004356	0.010917	0.000000
2080	11.928717	0.004358	0.010919	0.000000
2081	11.958539	0.004360	0.010922	0.000000
2082	11.988435	0.004363	0.010924	0.000000
2083	12.018406	0.004365	0.010926	0.000000
2084	12.048453	0.004367	0.010928	0.000000
2085	12.078574	0.004369	0.010930	0.000000
2086	12.108770	0.004371	0.010933	0.000000
2087	12.139042	0.004373	0.010935	0.000000
2088	12.169390	0.004376	0.010937	0.000000
2089	12.199813	0.004378	0.010939	0.000000
2090	12.230313	0.004380	0.010941	0.000000
